id,value
ebola,
ebola.deaths,
ebola.deaths.percentage,
ebola.deaths.percentage.Guinea,6600
ebola.deaths.percentage.Liberia,4500
ebola.deaths.percentage.SierraLeone,2800
ebola.deaths.percentage.Liberia2,3300
ebola.deaths.percentage.Guinea2,8000
ebola.deaths.percentage.Italy,0
ebola.deaths.percentage.UnitedKingdom,0
ebola.deaths.percentage.Mali,7500
ebola.deaths.percentage.Nigeria,4000
ebola.deaths.percentage.Senegal,0
ebola.deaths.percentage.Spain,0
ebola.deaths.percentage.UnitedStatesOfAmerica,2500
